API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Spotify Track Streams / Playback Count,https://rapidapi.com/music-metrics-music-metrics-default/api/spotify-track-streams-playback-count1/,spotify-track-streams-playback-count1.p.rapidapi.com,GET:Get Track Streams / Playback Count,Get the stream number / play count of any song on Spotify!,,[{}],"[{'参数名': ['spotify_track_id', 'isrc'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]"
SoundCloud Scraper and Downloader API,https://rapidapi.com/salmanakbar264/api/soundcloud-scraper-and-downloader-api/,soundcloud-scraper-and-downloader-api.p.rapidapi.com,GET:RetrieveTrackInfo,Fetches information about a SoundCloud track based on the provided track URL.,,"[{'参数名': ['TrackUrl'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
MusiclinkssApi,https://rapidapi.com/leonardosartori62/api/musiclinkssapi/,musiclinkssapi.p.rapidapi.com,GET:Search by url,"Given a Spotify url, this returns details about tracks, albums and artists.",,"[{'参数名': ['spotify_url'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
MusiclinkssApi,https://rapidapi.com/leonardosartori62/api/musiclinkssapi/,musiclinkssapi.p.rapidapi.com,GET:Get artist's albums,"Given a Spotify url, returns basic details about albums of artist.",,"[{'参数名': ['spotify_url'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
MusiclinkssApi,https://rapidapi.com/leonardosartori62/api/musiclinkssapi/,musiclinkssapi.p.rapidapi.com,GET:Search by query,"Given a query and type of element, this returns details about tracks, albums and artists.",,"[{'参数名': ['q', 'type'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Shazam API,https://rapidapi.com/yourdevmail/api/shazam-api7/,shazam-api7.p.rapidapi.com,GET:/search,"Search for songs, artists that match input term",,[{}],"[{'参数名': ['limit'], '参数类型': ['NUMBER'], '参数注意事项': ['number of result you want to get']}]"
Spotify Scraper,https://rapidapi.com/DataFanatic/api/spotify-scraper/,spotify-scraper.p.rapidapi.com,GET:Download Track on YouTube (3 Quotas),Provides a solution to download a Spotify track on YouTube and returns URLs of audio files. (Powered by Youtube Media Downloader. Get a better price by subscribing to and using it dire...,Track,[{}],"[{'参数名': ['candidate'], '参数类型': ['NUMBER'], '参数注意事项': ['The number of the most related YouTube videos among which a video with the nearest duration will be selected to extract downloadable audio URLs. Defaults to 3.']}]"
Spotify Scraper,https://rapidapi.com/DataFanatic/api/spotify-scraper/,spotify-scraper.p.rapidapi.com,GET:Download Track on SoundCloud (3-4 Quotas),Provides a solution to download a Spotify track on SoundCloud. HQ (4 Quotas) and SQ (3 Quotas) audios. (Tutorial: How to Use SoundCloud Audio URLs) (Powered by...,Track,[{}],"[{'参数名': ['quality', 'candidate'], '参数类型': ['ENUM', 'NUMBER'], '参数注意事项': ['Download quality. Defaults to sq.\nhq: High and standard quality - 4 quotas\nsq: Standard quality - 3 quotas\nThe final price depends on the existence of the file of the corresponding quality. For example, if hq is requested but the high-quality file does not exist, then the price will be 3 quotas if the standard one exists.', 'The number of the most related SoundCloud tracks among which a track with the nearest duration will be selected to generate downloadable audio URLs. Defaults to 3.']}]"
Spotify Scraper,https://rapidapi.com/DataFanatic/api/spotify-scraper/,spotify-scraper.p.rapidapi.com,GET:Download Track Lyrics,This endpoint allows downloading lyrics in different formats. You can also tweak the delay time of lyrics.,Track,[{}],"[{'参数名': ['format', 'delay', 'removeNote'], '参数类型': ['ENUM', 'NUMBER', 'BOOLEAN'], '参数注意事项': ['File format. Defaults to lrc.', 'Delay time in milliseconds. Defaults to 0. Negative value is allowed.', 'Whether to remove lines that only contain a single Eighth Note Emoji (♪). Defaults to true.']}]"
Spotify Scraper,https://rapidapi.com/DataFanatic/api/spotify-scraper/,spotify-scraper.p.rapidapi.com,GET:Get Track Metadata,This endpoint fetches full details of a track.,Track,"[{'参数名': ['trackId'], '参数类型': ['STRING'], '参数注意事项': ['Track ID.']}]",[{}]
