API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
D7 Verify,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7-verify/,d7-verify.p.rapidapi.com,GET:Check Balance,Get information about current balance on your D7API account,,[{}],[{}]
D7 Verify,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7-verify/,d7-verify.p.rapidapi.com,POST:Generate OTP,"Send an OTP to a mobile number for verification. Once the customer receives it and enters it in your app, then you can call the Verify OTP endpoint to verify it",,[{}],[{}]
D7 Verify,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7-verify/,d7-verify.p.rapidapi.com,POST:Resend OTP,"If the OTP is not received by the customer, you can use the Resend OTP endpoint to generate a new one. Before requesting a resend, there must be a minimum 60-second delay, which can be adjusted in",,[{}],[{}]
D7 Verify,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7-verify/,d7-verify.p.rapidapi.com,POST:Verify OTP,"At this endpoint, you can verify the OTP the customer enters in your application.",,[{}],[{}]
D7 Verify,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7-verify/,d7-verify.p.rapidapi.com,GET:Get OTP Status,Get the status of OTP generated or verified,,"[{'参数名': ['otp_id'], '参数类型': ['STRING'], '参数注意事项': ['The otp_ id which was returned from Send OTP endpoint']}]",[{}]
Virtual Number,https://rapidapi.com/shameeraanuranga1991/api/virtual-number/,virtual-number.p.rapidapi.com,GET:Get All Countries,Get the list of currently available countries,,[{}],[{}]
Virtual Number,https://rapidapi.com/shameeraanuranga1991/api/virtual-number/,virtual-number.p.rapidapi.com,GET:Get Number By Country Id,Get currently available numbers list by given country id,,"[{'参数名': ['countryId'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Virtual Number,https://rapidapi.com/shameeraanuranga1991/api/virtual-number/,virtual-number.p.rapidapi.com,GET:View SMS history,View All received SMS for the given number and country id,,"[{'参数名': ['countryId', 'number'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Rapid SMS API,https://rapidapi.com/capybaraclubstore/api/rapid-sms-api/,rapid-sms-api.p.rapidapi.com,GET:Test our service,An endpoint which test the service,,[{}],[{}]
Rapid SMS API,https://rapidapi.com/capybaraclubstore/api/rapid-sms-api/,rapid-sms-api.p.rapidapi.com,POST:Send SMS,An endpoint for sending a text message.,,[{}],[{}]
