API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
For Claris map,https://rapidapi.com/navitimejapan-navitimejapan/api/for-claris-map/,for-claris-map.p.rapidapi.com,GET:map_script,タイル地図スクリプト取得：ブラウザ上で動作するタイル地図を制御するJavaScriptファイルを取得します。,,"[{'参数名': ['host'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
For Claris map,https://rapidapi.com/navitimejapan-navitimejapan/api/for-claris-map/,for-claris-map.p.rapidapi.com,GET:map_script_url,Claris Connect連携で地図表示するためのURLを返却します。,,"[{'参数名': ['host'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
For Claris car,https://rapidapi.com/navitimejapan-navitimejapan/api/for-claris-car/,for-claris-car.p.rapidapi.com,GET:ping,疎通確認用のAPIです。,,[{}],[{}]
For Claris car,https://rapidapi.com/navitimejapan-navitimejapan/api/for-claris-car/,for-claris-car.p.rapidapi.com,GET:transport_node,駅名検索：キーワードや住所など、条件に該当する駅・空港などの一覧を取得します。,,[{}],"[{'参数名': ['type', 'datum'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]"
For Claris car,https://rapidapi.com/navitimejapan-navitimejapan/api/for-claris-car/,for-claris-car.p.rapidapi.com,GET:address,住所検索：キーワードを指定して緯度経度等の住所情報を取得します。,,[{}],"[{'参数名': ['word', 'address_filter', 'datum'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]"
For Claris car,https://rapidapi.com/navitimejapan-navitimejapan/api/for-claris-car/,for-claris-car.p.rapidapi.com,GET:shape_car,ルート形状取得(車）：自動車の最適ルートを探索し、その結果を形状で取得します。,,[{}],"[{'参数名': ['start_time', 'goal_time', 'via', 'via_type', 'condition', 'order', 'options', 'datum', 'no'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'NUMBER'], '参数注意事项': ['', '', '', '', '', '', '', '', '']}]"
For Claris car,https://rapidapi.com/navitimejapan-navitimejapan/api/for-claris-car/,for-claris-car.p.rapidapi.com,GET:route_car,ルート検索（車）：自動車を移動手段として、2地点間のルートを探索します。複数経由地を巡回するルート検索や、多対1検索も行えます。,,[{}],"[{'参数名': ['start_time', 'goal_time', 'via', 'via_type', 'condition', 'order', 'options', 'datum'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '', '', '', '', '']}]"
K4sada,https://rapidapi.com/fdis-fdis-default/api/k4sada/,k4sada.p.rapidapi.com,POST:IPS,"IPS solve
Decode base64 sensor and post that as content type octet-stream.
Open ticket if you need help.",,[{}],[{}]
K4sada,https://rapidapi.com/fdis-fdis-default/api/k4sada/,k4sada.p.rapidapi.com,POST:Worktime,"Worktime request, -cd header",,[{}],[{}]
Powerball,https://rapidapi.com/BFG9000/api/powerball9/,powerball9.p.rapidapi.com,GET:Powerball Detail By Code,"Get details on a single powerball by using the ""code"" url parameter",,"[{'参数名': ['code'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
